metab1, metab2, pcor, pval, adj pval
"Alanine","Valine","0.382","0.000618","0.0042"
"Alanine","Leucine","-0.112","0.384","0.662"
"Valine","Leucine","1","1.4e-12","4.77e-11"
"Alanine","Isoleucine","0.101","0.424","0.671"
"Valine","Isoleucine","0.959","8.01e-09","8.38e-08"
"Leucine","Isoleucine","1","2.55e-35","3.47e-33"
"Alanine","Threonine","0.0659","0.485","0.71"
"Valine","Threonine","-0.121","0.31","0.595"
"Leucine","Threonine","-0.206","0.139","0.357"
"Isoleucine","Threonine","0.463","0.000707","0.00443"
"Alanine","Serine","-0.0545","0.536","0.759"
"Valine","Serine","0.0229","0.837","0.91"
"Leucine","Serine","-0.00483","0.97","0.97"
"Isoleucine","Serine","0.0755","0.553","0.762"
"Threonine","Serine","0.704","1.97e-12","5.29e-11"
"Alanine","Proline","0.758","2.96e-14","1.34e-12"
"Valine","Proline","0.403","0.000716","0.00443"
"Leucine","Proline","-0.0759","0.581","0.762"
"Isoleucine","Proline","0.102","0.451","0.697"
"Threonine","Proline","0.187","0.064","0.189"
"Serine","Proline","0.0456","0.627","0.762"
"Alanine","Asparagine","0.00749","0.937","0.951"
"Valine","Asparagine","-0.271","0.0244","0.083"
"Leucine","Asparagine","0.0774","0.583","0.762"
"Isoleucine","Asparagine","-0.0739","0.592","0.762"
"Threonine","Asparagine","0.74","1.25e-11","2.44e-10"
"Serine","Asparagine","0.25","0.00938","0.0355"
"Proline","Asparagine","0.0581","0.568","0.762"
"Alanine","Aspartic acid","-0.0746","0.405","0.671"
"Valine","Aspartic acid","-0.0566","0.616","0.762"
"Leucine","Aspartic acid","0.12","0.362","0.639"
"Isoleucine","Aspartic acid","-0.195","0.132","0.346"
"Threonine","Aspartic acid","-0.0548","0.571","0.762"
"Serine","Aspartic acid","0.297","0.000979","0.00579"
"Proline","Aspartic acid","-0.048","0.615","0.762"
"Asparagine","Aspartic acid","0.0658","0.501","0.717"
"Alanine","Glutamic acid","0.0282","0.751","0.865"
"Valine","Glutamic acid","0.0564","0.614","0.762"
"Leucine","Glutamic acid","-0.0945","0.469","0.703"
"Isoleucine","Glutamic acid","0.348","0.0068","0.0272"
"Threonine","Glutamic acid","-0.0109","0.909","0.941"
"Serine","Glutamic acid","0.0452","0.612","0.762"
